Timestamp;I agree to participate in this research;Type this code: CJX0A6;;Question 1. Read the following statement and indicate your belief on the scale below.;Explanation for rank of statement (1);Question 2. Read the following statement and indicate your belief on the scale below.;Explanation for rank of statement (2);Question 3. Read the following statement and indicate your belief on the scale below.;Explanation for rank of statement (3);Question 4. Read the following statement and indicate your belief on the scale below.;Explanation for rank of statement (4);Question 5. Read the following statement and indicate your belief on the scale below.;Explanation for rank of statement (5);Question 6. Read the following statement and indicate your belief on the scale below.;Explanation for rank of statement (6);I confirm that I have noted the above verification code for submission on Mechanical Turk.;Finally, any thoughts you wish to add about your experience participating in this survey?
2020/11/24 5:20:23 pm EET;Yes;CJX0A6;giggle;2;I do endorse the statement that Michaela W is an actress. I do not endorse the statement that Michaela W is hard to please.;1;I do endorse the statement that Liam F is a computer science student. I do not endorse the statement that Liam F is a hacker.;2;I do endorse the statement that Carina K is a lawyer. I do not endorse the statement that Carina K does tell lies.;1;I do endorse the statement that Harold C is an office manager. I do not endorse the statement that Harold C does have a short temper.;4;I do endorse the statement that Margaret R is a baker. I do endorse the statement that Margaret R does get up early in the morning to bake bread.;5;I do endorse the statement that Eric V is a football player from Slovenia. I do endorse the statement that Eric V is a football player from Slovenia.;Yes;
2020/11/24 5:21:08 pm EET;Yes;CJX0A6;giggle;4;I do endorse the statement that Michaela W is an actress. I do endorse the statement that Michaela W is hard to please.;5;I do endorse the statement that Liam F is a computer science student. I do not endorse the statement that Liam F is a hacker.;4;I do endorse the statement that Carina K is a lawyer. I do endorse the statement that Carina K does tell lies.;4;I do endorse the statement that Harold C is an office manager. I do endorse the statement that Harold C does have a short temper.;4;I do not endorse the statement that Margaret R is a baker. I do not endorse the statement that Margaret R does get up early in the morning to bake bread.;3;I do endorse the statement that Eric V is a football player from Slovenia. I do not endorse the statement that Eric V is a football player from Slovenia.;Yes;Nothing
2020/11/24 5:21:29 pm EET;Yes;CJX0A6;giggle;2;I do endorse the statement that Michaela W is an actress. I do not endorse the statement that Michaela W is hard to please.;1;I do not endorse the statement that Liam F is a computer science student. I do not endorse the statement that Liam F is a hacker.;2;I do not endorse the statement that Carina K is a lawyer. I do not endorse the statement that Carina K does tell lies.;3;I do endorse the statement that Harold C is an office manager. I do not endorse the statement that Harold C does have a short temper.;4;I do endorse the statement that Margaret R is a baker. I do endorse the statement that Margaret R does get up early in the morning to bake bread.;5;I do endorse the statement that Eric V is a football player from Slovenia. I do endorse the statement that Eric V is a football player from Slovenia.;Yes;Loved it. Would like to do more ! :)
2020/11/24 5:22:00 pm EET;Yes;CJX0A6;giggle;3;I do endorse the statement that Michaela W is an actress. I do endorse the statement that Michaela W is hard to please.;2;I do not endorse the statement that Liam F is a computer science student. I do not endorse the statement that Liam F is a hacker.;5;I do endorse the statement that Carina K is a lawyer. I do not endorse the statement that Carina K does tell lies.;5;I do not endorse the statement that Harold C is an office manager. I do not endorse the statement that Harold C does have a short temper.;5;I do not endorse the statement that Margaret R is a baker. I do not endorse the statement that Margaret R does get up early in the morning to bake bread.;5;I do endorse the statement that Eric V is a football player from Slovenia. I do not endorse the statement that Eric V is a football player from Slovenia.;Yes;
2020/11/24 5:22:48 pm EET;Yes;CJX0A6;giggle;2;I do not endorse the statement that Michaela W is an actress. I do not endorse the statement that Michaela W is hard to please.;1;I do endorse the statement that Liam F is a computer science student. I do not endorse the statement that Liam F is a hacker.;4;I do endorse the statement that Carina K is a lawyer. I do endorse the statement that Carina K does tell lies.;4;I do not endorse the statement that Harold C is an office manager. I do not endorse the statement that Harold C does have a short temper.;4;I do endorse the statement that Margaret R is a baker. I do endorse the statement that Margaret R does get up early in the morning to bake bread.;4;I do not endorse the statement that Eric V is a football player from Slovenia. I do not endorse the statement that Eric V is a football player from Slovenia.;Yes;
2020/11/24 5:23:07 pm EET;Yes;CJX0A6;giggle;2;I do endorse the statement that Michaela W is an actress. I do not endorse the statement that Michaela W is hard to please.;1;I do endorse the statement that Liam F is a computer science student. I do not endorse the statement that Liam F is a hacker.;2;I do endorse the statement that Carina K is a lawyer. I do not endorse the statement that Carina K does tell lies.;1;I do endorse the statement that Harold C is an office manager. I do not endorse the statement that Harold C does have a short temper.;1;I do endorse the statement that Margaret R is a baker. I do not endorse the statement that Margaret R does get up early in the morning to bake bread.;5;I do endorse the statement that Eric V is a football player from Slovenia. I do endorse the statement that Eric V is a football player from Slovenia.;Yes;These seemed like logic questions but I couldn't remember the rules from college. 
2020/11/24 5:23:48 pm EET;Yes;CJX0A6;funny giggle;1;I do endorse the statement that Michaela W is an actress. I do not endorse the statement that Michaela W is hard to please.;1;I do endorse the statement that Liam F is a computer science student. I do endorse the statement that Liam F is a hacker.;5;I do endorse the statement that Carina K is a lawyer. I do endorse the statement that Carina K does tell lies.;1;I do not endorse the statement that Harold C is an office manager. I do not endorse the statement that Harold C does have a short temper.;4;I do endorse the statement that Margaret R is a baker. I do endorse the statement that Margaret R does get up early in the morning to bake bread.;5;I do endorse the statement that Eric V is a football player from Slovenia. I do endorse the statement that Eric V is a football player from Slovenia.;Yes;none
2020/11/24 5:25:50 pm EET;Yes;CJX0A6;giggle;2;I do endorse the statement that Michaela W is an actress. I do not endorse the statement that Michaela W is hard to please.;1;I do endorse the statement that Liam F is a computer science student. I do not endorse the statement that Liam F is a hacker.;2;I do endorse the statement that Carina K is a lawyer. I do not endorse the statement that Carina K does tell lies.;2;I do endorse the statement that Harold C is an office manager. I do not endorse the statement that Harold C does have a short temper.;4;I do endorse the statement that Margaret R is a baker. I do endorse the statement that Margaret R does get up early in the morning to bake bread.;5;I do endorse the statement that Eric V is a football player from Slovenia. I do endorse the statement that Eric V is a football player from Slovenia.;Yes;None
2020/11/24 5:42:29 pm EET;Yes;CJX0A6;giggle;2;I do endorse the statement that Michaela W is an actress. I do not endorse the statement that Michaela W is hard to please.;1;I do endorse the statement that Liam F is a computer science student. I do not endorse the statement that Liam F is a hacker.;2;I do endorse the statement that Carina K is a lawyer. I do not endorse the statement that Carina K does tell lies.;2;I do endorse the statement that Harold C is an office manager. I do not endorse the statement that Harold C does have a short temper.;3;I do not endorse the statement that Margaret R is a baker. I do endorse the statement that Margaret R does get up early in the morning to bake bread.;4;I do endorse the statement that Eric V is a football player from Slovenia. I do not endorse the statement that Eric V is a football player from Slovenia.;Yes;none
2020/11/24 5:43:25 pm EET;Yes;CJX0A6;giggle;3;I do not endorse the statement that Michaela W is an actress. I do not endorse the statement that Michaela W is hard to please.;2;I do endorse the statement that Liam F is a computer science student. I do not endorse the statement that Liam F is a hacker.;3;I do endorse the statement that Carina K is a lawyer. I do not endorse the statement that Carina K does tell lies.;2;I do endorse the statement that Harold C is an office manager. I do not endorse the statement that Harold C does have a short temper.;3;I do not endorse the statement that Margaret R is a baker. I do not endorse the statement that Margaret R does get up early in the morning to bake bread.;3;I do not endorse the statement that Eric V is a football player from Slovenia. I do not endorse the statement that Eric V is a football player from Slovenia.;Yes;none
2020/11/24 5:46:06 pm EET;Yes;CJX0A6;giggle;2;I do endorse the statement that Michaela W is an actress. I do not endorse the statement that Michaela W is hard to please.;1;I do endorse the statement that Liam F is a computer science student. I do not endorse the statement that Liam F is a hacker.;3;I do endorse the statement that Carina K is a lawyer. I do endorse the statement that Carina K does tell lies.;1;I do endorse the statement that Harold C is an office manager. I do not endorse the statement that Harold C does have a short temper.;2;I do endorse the statement that Margaret R is a baker. I do not endorse the statement that Margaret R does get up early in the morning to bake bread.;5;I do endorse the statement that Eric V is a football player from Slovenia. I do endorse the statement that Eric V is a football player from Slovenia.;Yes;Thank you!
2020/11/24 5:48:53 pm EET;Yes;CJX0A6;giggle;4;I do not endorse the statement that Michaela W is an actress. I do not endorse the statement that Michaela W is hard to please.;2;I do endorse the statement that Liam F is a computer science student. I do not endorse the statement that Liam F is a hacker.;2;I do not endorse the statement that Carina K is a lawyer. I do endorse the statement that Carina K does tell lies.;2;I do endorse the statement that Harold C is an office manager. I do not endorse the statement that Harold C does have a short temper.;4;I do endorse the statement that Margaret R is a baker. I do endorse the statement that Margaret R does get up early in the morning to bake bread.;1;I do not endorse the statement that Eric V is a football player from Slovenia. I do endorse the statement that Eric V is a football player from Slovenia.;Yes;No Comment
2020/11/24 5:54:05 pm EET;Yes;CJX0A6;giggle;4;I do endorse the statement that Michaela W is an actress. I do endorse the statement that Michaela W is hard to please.;1;I do endorse the statement that Liam F is a computer science student. I do endorse the statement that Liam F is a hacker.;5;I do endorse the statement that Carina K is a lawyer. I do endorse the statement that Carina K does tell lies.;2;I do endorse the statement that Harold C is an office manager. I do not endorse the statement that Harold C does have a short temper.;4;I do endorse the statement that Margaret R is a baker. I do endorse the statement that Margaret R does get up early in the morning to bake bread.;5;I do endorse the statement that Eric V is a football player from Slovenia. I do endorse the statement that Eric V is a football player from Slovenia.;Yes;na
2020/11/24 6:04:57 pm EET;Yes;CJX0A6;giggle;4;I do endorse the statement that Michaela W is an actress. I do endorse the statement that Michaela W is hard to please.;3;I do not endorse the statement that Liam F is a computer science student. I do endorse the statement that Liam F is a hacker.;4;I do endorse the statement that Carina K is a lawyer. I do not endorse the statement that Carina K does tell lies.;4;I do endorse the statement that Harold C is an office manager. I do endorse the statement that Harold C does have a short temper.;2;I do endorse the statement that Margaret R is a baker. I do endorse the statement that Margaret R does get up early in the morning to bake bread.;4;I do endorse the statement that Eric V is a football player from Slovenia. I do endorse the statement that Eric V is a football player from Slovenia.;Yes;none 
2020/11/24 6:04:59 pm EET;Yes;CJX0A6;giggle;5;I do endorse the statement that Michaela W is an actress. I do endorse the statement that Michaela W is hard to please.;1;I do endorse the statement that Liam F is a computer science student. I do not endorse the statement that Liam F is a hacker.;2;I do endorse the statement that Carina K is a lawyer. I do not endorse the statement that Carina K does tell lies.;2;I do endorse the statement that Harold C is an office manager. I do not endorse the statement that Harold C does have a short temper.;1;I do endorse the statement that Margaret R is a baker. I do not endorse the statement that Margaret R does get up early in the morning to bake bread.;5;I do endorse the statement that Eric V is a football player from Slovenia. I do endorse the statement that Eric V is a football player from Slovenia.;Yes;This was fun and short. Thank you for a nice experiment and the pay.
