consent,captcha_code,language_question,rank_statement_19,explanation_statement_19,rank_statement_20,explanation_statement_20,rank_statement_21,explanation_statement_21,rank_statement_22,explanation_statement_22,rank_statement_23,explanation_statement_13,rank_statement_24,explanation_statement_24,mturk_ID_consent,feedback,year,month,day,hour,minute,second
Yes,I7Y8DD,wealthy,disagree,I do endorse the statement that Nicole A is a cancer patient. I do not endorse the statement that Nicole is terminally ill.,agree,I do endorse the statement that Chris P is a waiter. I do endorse the statement that Chris P has profound knowledge of the menu.,strongly disagree,I do endorse the statement that Daisy M is a crying baby. I do not endorse the statement that Daisy M is hungry.,agree,I do endorse the statement that Bryce V is a dentist. I do endorse the statement that Bryce V does have perfect teeth.,strongly disagree,I do endorse the statement that Alicia E watches movies. I do not endorse the statement that Alicia E does watch romantic comedies.,strongly agree,I do endorse the statement that Jessica B is a yoga instructor. I do endorse the statement that Jessica B is a yoga instructor.,Yes,Great survey! Thank you.,2020,11,25,11,34,47
Yes,RAV28W,wealthy,strongly disagree,I do endorse the statement that Nicole A is a cancer patient. I do not endorse the statement that Nicole is terminally ill.,agree,I do endorse the statement that Chris P is a waiter. I do endorse the statement that Chris P has profound knowledge of the menu.,agree,I do endorse the statement that Daisy M is a crying baby. I do endorse the statement that Daisy M is hungry.,disagree,I do endorse the statement that Bryce V is a dentist. I do not endorse the statement that Bryce V does have perfect teeth.,agree,I do endorse the statement that Alicia E watches movies. I do endorse the statement that Alicia E does watch romantic comedies.,strongly agree,I do endorse the statement that Jessica B is a yoga instructor. I do endorse the statement that Jessica B is a yoga instructor.,Yes,no comments other than thanks,2020,11,25,13,24,40
Yes,6XQS2G,wealthy,agree,I do endorse the statement that Nicole A is a cancer patient. I do endorse the statement that Nicole is terminally ill.,agree,I do endorse the statement that Chris P is a waiter. I do endorse the statement that Chris P has profound knowledge of the menu.,agree,I do endorse the statement that Daisy M is a crying baby. I do not endorse the statement that Daisy M is hungry.,agree,I do endorse the statement that Bryce V is a dentist. I do not endorse the statement that Bryce V does have perfect teeth.,strongly agree,I do endorse the statement that Alicia E watches movies. I do not endorse the statement that Alicia E does watch romantic comedies.,strongly agree,I do endorse the statement that Jessica B is a yoga instructor. I do not endorse the statement that Jessica B is a yoga instructor.,Yes,very nice,2020,11,25,11,35,15
Yes,75SQI6,wealthy,agree,I do endorse the statement that Nicole A is a cancer patient. I do endorse the statement that Nicole is terminally ill.,agree,I do endorse the statement that Chris P is a waiter. I do not endorse the statement that Chris P has profound knowledge of the menu.,agree,I do not endorse the statement that Daisy M is a crying baby. I do endorse the statement that Daisy M is hungry.,agree,I do endorse the statement that Bryce V is a dentist. I do endorse the statement that Bryce V does have perfect teeth.,agree,I do endorse the statement that Alicia E watches movies. I do not endorse the statement that Alicia E does watch romantic comedies.,agree,I do endorse the statement that Jessica B is a yoga instructor. I do not endorse the statement that Jessica B is a yoga instructor.,Yes,good,2020,11,25,11,11,44
Yes,WBNS9J,wealthy,disagree,I do endorse the statement that Nicole A is a cancer patient. I do endorse the statement that Nicole is terminally ill.,strongly agree,I do endorse the statement that Chris P is a waiter. I do endorse the statement that Chris P has profound knowledge of the menu.,agree,I do endorse the statement that Daisy M is a crying baby. I do endorse the statement that Daisy M is hungry.,disagree,I do endorse the statement that Bryce V is a dentist. I do not endorse the statement that Bryce V does have perfect teeth.,neutral,I do endorse the statement that Alicia E watches movies. I do not endorse the statement that Alicia E does watch romantic comedies.;I do not endorse the statement that Alicia E watches movies. I do endorse the statement that Alicia E does watch romantic comedies.,strongly agree,I do not endorse the statement that Jessica B is a yoga instructor. I do endorse the statement that Jessica B is a yoga instructor.;I do not endorse the statement that Jessica B is a yoga instructor. I do not endorse the statement that Jessica B is a yoga instructor.,Yes,N/a,2020,11,25,11,28,36
Yes,382SQP,wealthy,strongly agree,I do endorse the statement that Nicole A is a cancer patient. I do not endorse the statement that Nicole is terminally ill.,strongly agree,I do endorse the statement that Chris P is a waiter. I do not endorse the statement that Chris P has profound knowledge of the menu.,agree,I do endorse the statement that Daisy M is a crying baby. I do endorse the statement that Daisy M is hungry.,strongly agree,I do endorse the statement that Bryce V is a dentist. I do not endorse the statement that Bryce V does have perfect teeth.,agree,I do endorse the statement that Alicia E watches movies. I do endorse the statement that Alicia E does watch romantic comedies.,strongly agree,I do endorse the statement that Jessica B is a yoga instructor. I do not endorse the statement that Jessica B is a yoga instructor.,Yes,GOOD,2020,11,25,11,21,24
Yes,I7Y8DD,wealthy,agree,I do endorse the statement that Nicole A is a cancer patient. I do endorse the statement that Nicole is terminally ill.;I do not endorse the statement that Nicole A is a cancer patient. I do not endorse the statement that Nicole is terminally ill.,strongly agree,I do not endorse the statement that Chris P is a waiter. I do endorse the statement that Chris P has profound knowledge of the menu.;I do not endorse the statement that Chris P is a waiter. I do not endorse the statement that Chris P has profound knowledge of the menu.,agree,I do endorse the statement that Daisy M is a crying baby. I do not endorse the statement that Daisy M is hungry.,agree,I do endorse the statement that Bryce V is a dentist. I do not endorse the statement that Bryce V does have perfect teeth.;I do not endorse the statement that Bryce V is a dentist. I do endorse the statement that Bryce V does have perfect teeth.,strongly agree,I do endorse the statement that Alicia E watches movies. I do not endorse the statement that Alicia E does watch romantic comedies.,neutral,I do not endorse the statement that Jessica B is a yoga instructor. I do endorse the statement that Jessica B is a yoga instructor.;I do not endorse the statement that Jessica B is a yoga instructor. I do not endorse the statement that Jessica B is a yoga instructor.,Yes,NICE,2020,11,25,11,30,3
Yes,W6ALB6,wealthy,agree,I do endorse the statement that Nicole A is a cancer patient. I do endorse the statement that Nicole is terminally ill.,agree,I do not endorse the statement that Chris P is a waiter. I do not endorse the statement that Chris P has profound knowledge of the menu.,agree,I do endorse the statement that Daisy M is a crying baby. I do endorse the statement that Daisy M is hungry.,agree,I do endorse the statement that Bryce V is a dentist. I do endorse the statement that Bryce V does have perfect teeth.,agree,I do not endorse the statement that Alicia E watches movies. I do not endorse the statement that Alicia E does watch romantic comedies.,neutral,I do endorse the statement that Jessica B is a yoga instructor. I do not endorse the statement that Jessica B is a yoga instructor.,Yes,good,2020,11,25,11,41,47
Yes,UWHCJM,wealthy,neutral,I do endorse the statement that Nicole A is a cancer patient. I do not endorse the statement that Nicole is terminally ill.,agree,I do endorse the statement that Chris P is a waiter. I do endorse the statement that Chris P has profound knowledge of the menu.,neutral,I do endorse the statement that Daisy M is a crying baby. I do not endorse the statement that Daisy M is hungry.,disagree,I do endorse the statement that Bryce V is a dentist. I do not endorse the statement that Bryce V does have perfect teeth.,neutral,I do endorse the statement that Alicia E watches movies. I do not endorse the statement that Alicia E does watch romantic comedies.,strongly agree,I do endorse the statement that Jessica B is a yoga instructor. I do endorse the statement that Jessica B is a yoga instructor.,Yes,"NA",2020,11,25,11,37,15
Yes,KGEHH8,wealthy,neutral,"I do endorse the statement that Nicole A is a cancer patient. I do not endorse the statement that Nicole is terminally ill.;Nicole A is a cancer patient, and potentially could be terminally ill.",agree,I do endorse the statement that Chris P is a waiter. I do endorse the statement that Chris P has profound knowledge of the menu.,disagree,"I do endorse the statement that Daisy M is a crying baby. I do not endorse the statement that Daisy M is hungry.;There are many reasons a baby like Daisy M could be crying, and being hungry is just a possible answer.",agree,I do endorse the statement that Bryce V is a dentist. I do endorse the statement that Bryce V does have perfect teeth.,disagree,I do endorse the statement that Alicia E watches movies. I do not endorse the statement that Alicia E does watch romantic comedies.,strongly agree,I do endorse the statement that Jessica B is a yoga instructor. I do endorse the statement that Jessica B is a yoga instructor.,Yes,"It was okay. It would help if in the consent it explained better if you are allowed to do any of the 5 mini surveys as you call it, or if you have to start at 1 and do all 4. From what I understood I think you could do any of them, without having to do the others.",2020,11,25,12,16,47
Yes,N61AAE,wealthy,neutral,I do endorse the statement that Nicole A is a cancer patient. I do endorse the statement that Nicole is terminally ill.,neutral,I do not endorse the statement that Chris P is a waiter. I do endorse the statement that Chris P has profound knowledge of the menu.,agree,I do not endorse the statement that Daisy M is a crying baby. I do not endorse the statement that Daisy M is hungry.,agree,I do not endorse the statement that Bryce V is a dentist. I do not endorse the statement that Bryce V does have perfect teeth.,agree,I do endorse the statement that Alicia E watches movies. I do endorse the statement that Alicia E does watch romantic comedies.;I do not endorse the statement that Alicia E watches movies. I do not endorse the statement that Alicia E does watch romantic comedies.,agree,I do not endorse the statement that Jessica B is a yoga instructor. I do not endorse the statement that Jessica B is a yoga instructor.,Yes,good,2020,11,25,11,21,9
Yes,KORJRC,wealthy,strongly agree,I do endorse the statement that Nicole A is a cancer patient. I do endorse the statement that Nicole is terminally ill.,strongly agree,I do endorse the statement that Chris P is a waiter. I do endorse the statement that Chris P has profound knowledge of the menu.;I do not endorse the statement that Chris P is a waiter. I do not endorse the statement that Chris P has profound knowledge of the menu.,neutral,I do endorse the statement that Daisy M is a crying baby. I do not endorse the statement that Daisy M is hungry.;I do not endorse the statement that Daisy M is a crying baby. I do endorse the statement that Daisy M is hungry.,agree,I do endorse the statement that Bryce V is a dentist. I do endorse the statement that Bryce V does have perfect teeth.;I do not endorse the statement that Bryce V is a dentist. I do endorse the statement that Bryce V does have perfect teeth.;I do not endorse the statement that Bryce V is a dentist. I do not endorse the statement that Bryce V does have perfect teeth.,strongly agree,I do endorse the statement that Alicia E watches movies. I do not endorse the statement that Alicia E does watch romantic comedies.,strongly agree,I do endorse the statement that Jessica B is a yoga instructor. I do endorse the statement that Jessica B is a yoga instructor.,Yes,I GATHER INFORMATION,2020,11,25,11,37,17
Yes,5JH5G,wealthy,disagree,I do endorse the statement that Nicole A is a cancer patient. I do not endorse the statement that Nicole is terminally ill.,agree,I do endorse the statement that Chris P is a waiter. I do endorse the statement that Chris P has profound knowledge of the menu.,agree,I do endorse the statement that Daisy M is a crying baby. I do endorse the statement that Daisy M is hungry.,agree,I do endorse the statement that Bryce V is a dentist. I do not endorse the statement that Bryce V does have perfect teeth.,disagree,I do endorse the statement that Alicia E watches movies. I do not endorse the statement that Alicia E does watch romantic comedies.,strongly agree,I do endorse the statement that Jessica B is a yoga instructor. I do endorse the statement that Jessica B is a yoga instructor.,Yes,Enjoyed.,2020,11,25,12,5,45
Yes,6XQS2G,wealthy,disagree,I do endorse the statement that Nicole A is a cancer patient. I do not endorse the statement that Nicole is terminally ill.,disagree,I do endorse the statement that Chris P is a waiter. I do not endorse the statement that Chris P has profound knowledge of the menu.,agree,I do endorse the statement that Daisy M is a crying baby. I do endorse the statement that Daisy M is hungry.,strongly disagree,I do endorse the statement that Bryce V is a dentist. I do not endorse the statement that Bryce V does have perfect teeth.,disagree,I do endorse the statement that Alicia E watches movies. I do not endorse the statement that Alicia E does watch romantic comedies.,strongly agree,I do endorse the statement that Jessica B is a yoga instructor. I do endorse the statement that Jessica B is a yoga instructor.,Yes,No,2020,11,25,11,31,35
Yes,KDEU5H,wealthy,disagree,I do endorse the statement that Nicole A is a cancer patient. I do not endorse the statement that Nicole is terminally ill.,disagree,I do endorse the statement that Chris P is a waiter. I do endorse the statement that Chris P has profound knowledge of the menu.,agree,I do endorse the statement that Daisy M is a crying baby. I do endorse the statement that Daisy M is hungry.,disagree,I do not endorse the statement that Bryce V is a dentist. I do not endorse the statement that Bryce V does have perfect teeth.,disagree,I do not endorse the statement that Alicia E watches movies. I do not endorse the statement that Alicia E does watch romantic comedies.,strongly agree,I do endorse the statement that Jessica B is a yoga instructor. I do endorse the statement that Jessica B is a yoga instructor.,Yes,nope!  thanks for yet another well-compensated HIT!,2020,11,25,11,10,38
Yes,KGEHH8,wealthy,strongly agree,I do endorse the statement that Nicole A is a cancer patient. I do endorse the statement that Nicole is terminally ill.;I do endorse the statement that Nicole A is a cancer patient. I do not endorse the statement that Nicole is terminally ill.,strongly agree,I do endorse the statement that Chris P is a waiter. I do endorse the statement that Chris P has profound knowledge of the menu.;I do endorse the statement that Chris P is a waiter. I do not endorse the statement that Chris P has profound knowledge of the menu.,strongly agree,I do endorse the statement that Daisy M is a crying baby. I do endorse the statement that Daisy M is hungry.;I do endorse the statement that Daisy M is a crying baby. I do not endorse the statement that Daisy M is hungry.,strongly agree,I do endorse the statement that Bryce V is a dentist. I do endorse the statement that Bryce V does have perfect teeth.;I do endorse the statement that Bryce V is a dentist. I do not endorse the statement that Bryce V does have perfect teeth.,strongly agree,I do endorse the statement that Alicia E watches movies. I do endorse the statement that Alicia E does watch romantic comedies.;I do endorse the statement that Alicia E watches movies. I do not endorse the statement that Alicia E does watch romantic comedies.,strongly agree,I do endorse the statement that Jessica B is a yoga instructor. I do endorse the statement that Jessica B is a yoga instructor.;I do endorse the statement that Jessica B is a yoga instructor. I do not endorse the statement that Jessica B is a yoga instructor.,Yes,I GATHER MORE INFROMATION IN THIS TASK,2020,11,25,12,7,16
Yes,62JDTU,wealthy,agree,I do not endorse the statement that Nicole A is a cancer patient. I do not endorse the statement that Nicole is terminally ill.,strongly agree,I do endorse the statement that Chris P is a waiter. I do endorse the statement that Chris P has profound knowledge of the menu.,neutral,I do endorse the statement that Daisy M is a crying baby. I do not endorse the statement that Daisy M is hungry.,agree,I do endorse the statement that Bryce V is a dentist. I do not endorse the statement that Bryce V does have perfect teeth.,neutral,I do endorse the statement that Alicia E watches movies. I do not endorse the statement that Alicia E does watch romantic comedies.,strongly agree,I do endorse the statement that Jessica B is a yoga instructor. I do endorse the statement that Jessica B is a yoga instructor.,Yes,"NA",2020,11,25,11,25,45
Yes,NIWALF,wealthy,agree,I do endorse the statement that Nicole A is a cancer patient. I do endorse the statement that Nicole is terminally ill.,agree,I do endorse the statement that Chris P is a waiter. I do endorse the statement that Chris P has profound knowledge of the menu.,agree,I do endorse the statement that Daisy M is a crying baby. I do not endorse the statement that Daisy M is hungry.,neutral,I do endorse the statement that Bryce V is a dentist. I do not endorse the statement that Bryce V does have perfect teeth.,neutral,I do not endorse the statement that Alicia E watches movies. I do not endorse the statement that Alicia E does watch romantic comedies.,neutral,I do endorse the statement that Jessica B is a yoga instructor. I do endorse the statement that Jessica B is a yoga instructor.,Yes,i feel good.,2020,11,25,11,52,22
Yes,1LY5EE,wealthy,disagree,I do endorse the statement that Nicole A is a cancer patient. I do not endorse the statement that Nicole is terminally ill.,agree,I do endorse the statement that Chris P is a waiter. I do endorse the statement that Chris P has profound knowledge of the menu.;I do endorse the statement that Chris P is a waiter. I do not endorse the statement that Chris P has profound knowledge of the menu.;He may or may not have profound knowledge of the menu so hopefully this is the right way to answer.  It could be made a little more clear how we are supposed to answer in these situations...,strongly disagree,I do endorse the statement that Daisy M is a crying baby. I do not endorse the statement that Daisy M is hungry.,strongly disagree,I do endorse the statement that Bryce V is a dentist. I do not endorse the statement that Bryce V does have perfect teeth.,strongly disagree,I do endorse the statement that Alicia E watches movies. I do not endorse the statement that Alicia E does watch romantic comedies.,strongly agree,I do endorse the statement that Jessica B is a yoga instructor. I do endorse the statement that Jessica B is a yoga instructor.,Yes,"NA",2020,11,25,11,24,54
Yes,VWQN5I,wealthy,neutral,I do endorse the statement that Nicole A is a cancer patient. I do not endorse the statement that Nicole is terminally ill.,neutral,I do endorse the statement that Chris P is a waiter. I do not endorse the statement that Chris P has profound knowledge of the menu.,agree,I do endorse the statement that Daisy M is a crying baby. I do not endorse the statement that Daisy M is hungry.,neutral,I do not endorse the statement that Bryce V is a dentist. I do not endorse the statement that Bryce V does have perfect teeth.,agree,I do endorse the statement that Alicia E watches movies. I do endorse the statement that Alicia E does watch romantic comedies.,neutral,I do not endorse the statement that Jessica B is a yoga instructor. I do endorse the statement that Jessica B is a yoga instructor.,Yes,good,2020,11,25,11,40,6
